,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,460394,Female,No,32,Yes,Healthcare,9,Low,3,Cat_6,D
1,461798,Female,No,56,Yes,Artist,0,Low,1,Cat_6,A
2,464976,Male,Yes,75,No,Lawyer,1,Low,1,Cat_4,D
3,462104,Male,Yes,39,No,Entertainment,9,Low,2,Cat_3,D
4,464829,Male,No,22,No,Healthcare,9,Low,5,Cat_4,D
5,464634,Female,No,32,Yes,Engineer,,Low,9,Cat_4,D
6,467670,Male,No,25,No,Engineer,,Low,3,Cat_6,A
7,462073,Female,No,36,Yes,Artist,6,Low,1,Cat_6,C
8,463611,Male,No,62,Yes,Artist,0,Low,,Cat_6,A
9,460962,Male,Yes,55,Yes,Executive,9,High,4,Cat_6,C
10,462097,Male,Yes,42,Yes,Doctor,8,Average,2,Cat_2,B
11,461496,Male,Yes,47,Yes,Homemaker,,Low,1,Cat_6,B
12,460333,Female,No,42,No,Entertainment,10,Low,4,Cat_6,D
13,467208,Female,Yes,41,Yes,Homemaker,,High,2,Cat_6,C
14,460688,Male,Yes,28,No,Doctor,5,Low,2,Cat_3,D
15,464188,Female,No,33,No,Doctor,1,Low,3,Cat_6,D
16,466301,Male,Yes,50,Yes,Artist,0,Average,3,Cat_2,C
17,459411,Male,Yes,74,No,Lawyer,8,Low,1,Cat_6,A
18,466875,Female,No,36,Yes,Marketing,0,Low,2,Cat_3,D
19,461789,Male,Yes,67,Yes,Executive,1,High,2,Cat_6,C
20,466545,Female,No,19,No,Healthcare,1,Low,4,Cat_2,A
21,459332,Female,Yes,72,Yes,Homemaker,1,Low,,Cat_6,B
22,459285,Male,No,76,Yes,Lawyer,0,Low,2,Cat_6,A
23,461363,Male,No,49,Yes,Artist,0,Low,1,Cat_6,A
24,459051,Male,Yes,66,Yes,Artist,,Average,2,Cat_6,C
25,464193,Female,Yes,36,Yes,Doctor,13,Low,2,Cat_6,B
26,461522,Male,Yes,76,No,Executive,1,High,2,Cat_6,A
27,464293,Male,No,30,Yes,Healthcare,1,Low,4,Cat_6,C
28,462788,Male,Yes,47,No,Entertainment,1,Average,3,Cat_3,B
29,462971,Female,Yes,71,Yes,Engineer,0,Low,1,Cat_6,B
30,464818,Female,Yes,38,No,Engineer,,Average,2,Cat_4,A
31,464366,Male,Yes,55,Yes,Entertainment,2,Average,2,Cat_6,C
32,463039,Male,Yes,38,No,Executive,12,High,7,Cat_6,A
33,460704,Male,Yes,43,Yes,Artist,1,Low,2,Cat_6,B
34,465130,Female,Yes,50,Yes,Artist,0,Average,9,Cat_6,C
35,461882,Female,No,30,Yes,Doctor,0,Low,5,Cat_7,C
36,463150,Male,No,51,No,Marketing,9,Low,1,Cat_6,A
37,467227,Female,No,43,Yes,Artist,14,Low,1,Cat_4,D
38,466638,Female,No,42,Yes,Artist,8,Low,2,Cat_6,B
39,461207,Female,No,60,Yes,Artist,6,Low,1,Cat_6,B
40,459864,Female,Yes,68,No,Artist,,High,2,Cat_6,A
41,459593,Male,No,19,No,Healthcare,,Low,4,Cat_6,D
42,460794,Female,Yes,41,Yes,Homemaker,9,Low,1,Cat_6,A
43,463034,Female,No,28,Yes,Homemaker,9,Low,1,Cat_6,D
44,460938,Male,No,38,Yes,Artist,,Low,1,Cat_6,A
